,0
Annual return,0.12727957226820852
Cumulative returns,0.17376725828042616
Annual volatility,0.06011927368036166
Sharpe ratio,2.029218983050423
Calmar ratio,3.5428207434897847
Stability,0.9152408348841267
Max drawdown,-0.035926054825690765
Omega ratio,1.460650507706349
Sortino ratio,3.024106408231617
Skew,
Kurtosis,
Tail ratio,1.1551098520596499
Daily value at risk,-0.007090208708418332
