,0
Annual return,4.440892098500626e-16
Cumulative returns,6.661338147750939e-16
Annual volatility,0.01840947621504609
Sharpe ratio,0.009181537493963677
Calmar ratio,2.3191812072574978e-14
Stability,0.5063424082750647
Max drawdown,-0.019148534338772588
Omega ratio,1.0018754268354597
Sortino ratio,0.012591012029942384
Skew,
Kurtosis,
Tail ratio,0.9428663028657576
Daily value at risk,-0.002318705248760057
